Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
01.01.2025;00:00;32663,63;6062,69;5510,01;4974,52;1644,69;9733,97;2281,27;0;81,51;1347,07;81,69;553,59;972,71;0;0;-656,47;76,38
01.01.2025;01:00;31147,31;5708,52;4552,08;4858,9;1420,32;10074,39;2053,07;0;80,01;1346,87;81,69;546,18;972,21;0;0;-624,35;77,42
01.01.2025;02:00;29622,41;5701,83;3531,08;4654;1241,9;10078,92;2023,25;0;86,96;1351,3;81,69;550,86;980,4;0;0;-735,51;75,73
01.01.2025;03:00;28440,66;5401,49;2599,5;4632,26;1207,19;10052,15;2122,76;0;86,76;1353,14;83,9;565,68;978,32;0;0;-718,38;75,89
01.01.2025;04:00;27968,13;5613,98;2275,22;4408,98;1099,38;10049,3;2103,05;0;86,45;1353,19;81,69;559,11;978,22;0;0;-713,58;73,14
01.01.2025;05:00;27831,32;5960,49;2102,62;4202,49;1120,84;10035,57;2009,99;,01;85,85;1352,85;79,48;552,04;948,15;0;0;-694,91;75,85
01.01.2025;06:00;28108,41;5927,26;2068,89;4241,01;1213,05;10044,8;1876,58;,91;86,75;1351,95;81,69;575,05;940,85;0;0;-373,17;72,79
01.01.2025;07:00;28558,86;5820,14;2707,46;4242,32;1291,25;10076,64;1788,03;18,21;85,95;1355,09;81,69;563,28;938,29;0;0;-477,57;68,08
01.01.2025;08:00;28071,6;4986,92;2473,75;4307,03;1465,85;10077,25;1781,05;284,38;88,45;1353,98;79,48;568,83;930,29;0;0;-396,79;71,13
01.01.2025;09:00;26394,42;4074,64;2300,93;4261,25;1417,03;8929,59;1726,6;1193,82;83,93;1350,11;81,69;563,45;914,2;0;0;-574,43;71,61
01.01.2025;10:00;24996,37;4309,96;2878,57;4069,92;1377,03;6505,57;1730,77;1720,84;82,53;1343,09;81,69;559,38;927,86;0;0;-662,61;71,77
01.01.2025;11:00;24405,35;4022,78;2422,54;4016,1;1244,1;6808,29;1589,74;1776,49;80,64;1330,6;83,9;571,41;940,87;0;0;-555,58;73,47
01.01.2025;12:00;24125,78;4265,6;2254,57;4038,36;1181,33;6446,21;1497,71;1736,83;78,74;1318,68;81,69;583,16;944,27;0;0;-375,03;73,66
01.01.2025;13:00;24481,23;4217,61;2726,74;4043,57;1134,62;6351,4;1380,96;1692,8;81,22;1309,57;83,9;573,53;944,2;0;0;-132,22;73,33
01.01.2025;14:00;25720,29;4343,37;3060,49;4007,37;1296,02;6901,35;1300,75;1711,16;81,62;1304,3;81,69;583,25;958,32;0;0;18,81;71,79
01.01.2025;15:00;28468,4;6042,53;3554,16;4021,77;1400,59;7773,29;1227,42;1504,72;80,18;1298,3;81,69;578,76;937,54;0;0;-107,56;75,01
01.01.2025;16:00;33180,39;8732,09;4660;4024,3;1708,42;9203,39;1297,83;626,32;87,28;1297,44;81,69;575,04;956,95;0;0;-142,58;72,22
01.01.2025;17:00;37967,71;10920,66;7219,64;4079,7;2077,37;9913,01;1396,96;39,94;85,38;1309,18;79,48;554,89;940,63;0;0;-722,17;73,04
01.01.2025;18:00;39965,09;11159,92;8721,77;4189,35;2133,05;9924,32;1519,16;,14;86,08;1326,79;86,11;553,29;962,14;0;0;-769,82;72,79
01.01.2025;19:00;39563,54;10929,7;8615,66;4245,81;1965,47;9937,27;1590,15;,01;85,28;1334,77;81,69;553,67;945,31;0;0;-793,94;72,69
01.01.2025;20:00;38864,23;10741,59;8120,49;4220,66;1806,32;9939,61;1737,19;,01;86,59;1343,21;83,9;545,8;933,5;0;0;-767,86;73,22
01.01.2025;21:00;38022,74;10666,14;7285,82;4230,88;1747,24;9934,4;1780,88;,01;85,99;1345,41;110,4;551,19;951,06;0;0;-740,15;73,47
