Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
01.04.2024;00:00;31021,18;2759,5;7637,34;4250,3;3969,89;6536,8;2788,08;,01;95,6;1186,08;78,07;472,76;979,91;0;0;163,66;103,18
01.04.2024;01:00;29681,43;2210,11;6146,54;4086,6;3950,08;7260,16;2777,75;,01;95,89;1206,02;75,07;470,54;991,08;0;0;308,28;103,3
01.04.2024;02:00;28673,17;2426,47;5572,7;4126,79;3832,33;6640,76;2828,32;,01;87,87;1215,47;64,03;464,92;985,8;0;0;330,5;97,2
01.04.2024;03:00;28611,93;2744,11;5710,6;4146,03;3846,35;5924,78;2964,23;,01;92,78;1223,34;55,2;466,61;979,96;0;0;355,54;102,39
01.04.2024;04:00;28753,45;2776,49;5907,09;4155,48;3823,23;5860,43;3002,5;,04;96,88;1229,17;52,99;464,3;967,25;0;0;320,66;96,94
01.04.2024;05:00;28347,19;2757,24;5498,94;4127,97;3794,73;6045,78;2929,54;4,24;96,99;1227,27;48,57;464,97;970,97;0;0;283,05;96,93
01.04.2024;06:00;27258,6;2797,78;4399,28;4114,97;3789,38;6317,44;2800,33;59,64;95,09;1225,79;0;470,66;973,08;0;0;116,97;98,19
01.04.2024;07:00;26598,72;2586,03;4277,17;4052,93;3634,29;5846,78;2716,84;574,39;89,09;1218,65;0;456,53;969,26;0;0;79,33;97,43
01.04.2024;08:00;28884,88;2721,67;5200,77;4056,01;3927,16;5757,72;2761,59;1488,89;86,77;1195,44;0;441,14;950,54;0;0;195,99;101,19
01.04.2024;09:00;29051,68;2636,32;5080,14;4046,12;3824,83;6154,16;2447,54;1803,17;86,49;1161,61;0;438,37;964,33;0;0;309,33;99,27
01.04.2024;10:00;28609,86;2649,43;5282,96;4038,82;3667,72;5930,7;2064,48;1911,93;93,27;1126,88;0;417;947,54;0;0;379,66;99,47
01.04.2024;11:00;28580,4;2421,07;5503,33;4065,84;3455,56;6264,46;1900,7;1958,03;86,88;1102,33;0;419,28;941,32;0;0;360,06;101,54
01.04.2024;12:00;27445,47;2500,11;4936,6;3998,21;3234,68;5814,25;1891,69;1968,8;81,08;1077,38;0;445,78;957,48;0;0;438,44;100,97
01.04.2024;13:00;28170,45;2663,89;5311,21;4095,7;3313,58;5936,87;1903,39;1940,43;81,48;1040,57;0;429;930,02;0;0;425,91;98,4
01.04.2024;14:00;29982,41;2773,49;5938,43;4203,19;3575,64;6925,65;1810,07;1883,48;83,45;1022,48;0;291,62;932,7;0;0;438,67;103,54
01.04.2024;15:00;30881,24;3101;6195,08;4201,06;3741,14;7306,01;1722,42;1791,58;82,95;1002,26;0;305,16;933,74;0;0;395,26;103,58
01.04.2024;16:00;32672,67;4401,62;6886,66;4024,39;3890,92;7400,62;1604,08;1626,78;91,55;1012,18;0;302,68;924,66;0;0;403,69;102,84
01.04.2024;17:00;35576,03;5783,7;8363,32;4314,39;4150,69;7528,23;1658,64;1005,33;91,58;1017,18;0;283,54;919,13;0;0;354,8;105,5
01.04.2024;18:00;37973,58;6265,12;10582,1;4457,16;4390,88;7529,04;1803,16;191,08;94,83;1040,67;0;291,34;925,85;0;0;299,61;102,74
01.04.2024;19:00;37829,02;6022,97;10497,73;4509,68;4453,03;7514,92;2109,08;1,04;94,53;1081,71;0;298,53;918,88;0;0;223,86;103,06
