Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
01.10.2024;00:00;33580,57;6017,71;5683,5;5421,06;1008,85;9817,56;2575,09;,01;87,94;1243,14;220,8;577,66;921,31;0;0;-87,21;93,15
01.10.2024;01:00;31996,32;5323,97;5017,61;5402,36;927,53;9701,62;2566,89;,01;87,75;1201,12;220,8;585,96;922,53;0;0;-60,07;98,24
01.10.2024;02:00;30857,15;5017,1;4227,04;5385,48;703,71;9814,89;2541,08;,01;81,65;1220,58;225,2;621,96;913,23;0;0;7,96;97,26
01.10.2024;03:00;30136,72;4793,57;3642,25;5396,68;654,49;10054,53;2418,17;,01;81,85;1216,16;220,8;623,11;911,43;0;0;27,2;96,47
01.10.2024;04:00;29975,9;4973,16;3399,11;5408,05;565,37;10072,47;2324,31;,04;84,45;1234,96;220,8;629,89;912,42;0;0;52,46;98,41
01.10.2024;05:00;30265,07;5228,74;3254,09;5464,57;615,11;10087,46;2382,59;1,37;88,36;1246,84;223;632,79;922,45;0;0;14,58;103,12
01.10.2024;06:00;30665,14;5597,96;3235,69;5525,4;651,79;10069,1;2423,28;23,85;87,26;1280,9;223;630,35;923,26;0;0;-110,66;103,96
01.10.2024;07:00;31336,7;5867,81;3743,5;5496,75;815,82;10090,91;2369,75;299,59;75,06;1292,72;223;625,85;920,89;0;0;-584,98;100,03
01.10.2024;08:00;34584,73;6192,34;5678,73;5523,96;991,68;10097,93;2165,62;1224,73;85,46;1271,89;223;639,02;917,11;0;0;-520,69;93,95
01.10.2024;09:00;34724,32;5850,86;5736,39;5574,63;989,34;10116;2079,73;1532,32;80,96;1237;220,8;623,15;926,19;0;0;-338,99;95,94
01.10.2024;10:00;34360,91;5791,07;4978,03;5555,37;910,75;10105,02;2146,99;1523,77;85,56;1205,22;223;587,92;916,02;0;0;235,54;96,65
01.10.2024;11:00;34078,59;4939,1;5662,78;5402,48;939,03;10103,32;2211,06;1477,78;84,46;1171,1;220,8;602,12;927,6;0;0;241,19;95,77
01.10.2024;12:00;32485,6;4431,3;5016,48;5375,74;838,04;9947,72;2200,08;1369,99;74,56;1172,46;223;591,37;934;0;0;217,54;93,32
01.10.2024;13:00;33807,32;5196,27;5208,56;5416,62;895,26;9943,76;2366,99;1378,64;89,86;1156,49;220,8;618,02;909,35;0;0;313,86;92,84
01.10.2024;14:00;35319,17;5185,66;6415,92;5534,41;923,52;10016,48;2527,48;1347,35;89,15;1145,84;216,38;613,8;904,5;0;0;305,01;93,67
01.10.2024;15:00;36353,93;6218,59;6311,2;5437,38;941,63;10095,36;2900,33;1117,72;85,76;1141,93;220,8;617,54;914,2;0;0;260,77;90,72
01.10.2024;16:00;38406,11;7475,52;7318,24;5226,11;1103,22;9870,13;3135,72;1065,99;87,62;1117,95;220,8;624,63;915,98;0;0;150,63;93,57
01.10.2024;17:00;40452,69;8892,78;8696,95;5263,19;1333,5;10068,28;3282,77;394,42;88,83;1143,64;220,8;602,41;906,12;0;0;-534,48;93,48
01.10.2024;18:00;41183,67;8943,09;9733,09;5279,76;1619,62;10004,24;3157,06;18,38;89,73;1164,35;220,8;598,75;913,91;0;0;-655,01;95,9
01.10.2024;19:00;41570,1;8869,65;9857,16;5314,89;1826,24;10036,22;3242,2;,01;89,83;1189,62;223;596,35;916,98;0;0;-687,93;95,88
01.10.2024;20:00;40346,72;8726,86;8682,92;5431,1;1778,94;10076,34;3141,81;,01;89,54;1207,31;220,8;597,81;937,93;0;0;-645,33;100,68
01.10.2024;21:00;39116,69;8578,59;7807,04;5257,08;1738,58;10092,86;3068,45;,01;89,54;1219,66;225,2;601,89;935,2;0;0;-598,72;101,31
01.10.2024;22:00;37554,17;7602,89;7206,84;5292,15;1536,28;10091,51;3258,33;,05;89,74;1237,73;225,2;583,14;939,09;0;0;-609,51;100,73
01.10.2024;23:00;35713,56;6603,91;5977,21;5080,16;1425,35;10065,63;3407,81;,01;91,44;1248,14;225,2;577,48;910,4;0;0;0;100,82
02.10.2024;00:00;33256,64;5900,18;4237,31;5260,17;1330,58;9974,24;3443,52;,01;92,49;1253,55;218,59;591,78;916,46;0;0;-59,68;97,44
02.10.2024;01:00;31811,25;5790,34;3263,45;5285,09;1240,03;9840,58;3421,35;,01;92,65;1263,37;220,8;331,62;905,3;0;0;57,33;99,33
02.10.2024;02:00;30683,91;5646,41;2503,07;5263,73;1040,09;9821,8;3559,62;,01;91,07;1269,14;223;303,54;911,86;0;0;-48,62;99,19
02.10.2024;03:00;29384,28;5374,96;2163,15;5272,55;933,05;9227,62;3515,89;,01;91,03;1276,33;223,2;314,32;911,3;0;0;-20,42;101,29
02.10.2024;04:00;29782,98;5011,9;2369,65;5267,98;874,76;9824,48;3615,79;,04;90,43;1283,61;218,59;283,47;903,84;0;0;-63,18;101,62
02.10.2024;05:00;30228,44;5610,76;2432,44;5263,34;854,98;9828,77;3725,25;2,49;90,54;1290,33;220,8;290,16;912,43;0;0;-388,12;94,27
02.10.2024;06:00;30728,45;6460,82;2244,53;5288,12;936,47;9822,44;3527,75;21,32;89,95;1298,52;220,79;295,95;899,15;0;0;-470,66;93,3
02.10.2024;07:00;31405;6583,19;2492,06;5276,52;1150,93;9907,74;3369,01;290,56;87,85;1297,57;223;297,97;900,12;0;0;-561,8;90,28
02.10.2024;08:00;34498,49;7378,29;4804,77;5292,53;1292,24;9974,5;2866,33;565,8;80,35;1282,4;220,8;279,2;904,75;0;0;-533,39;89,92
02.10.2024;09:00;34765,97;6683,63;5684,17;5215,73;1180,6;10005,71;2337,51;1287,73;75,84;1247,74;218,59;337,46;908,45;0;0;-510,26;93,07
02.10.2024;10:00;33976,1;6288,94;5173,61;5203,24;1071,69;9974,86;2086,61;1652,7;78,24;1215,03;218,59;418,65;915,29;0;0;-407,69;86,34
02.10.2024;11:00;32993,58;5257,1;4837,58;5195,34;1073,66;9737,67;1925,29;1814,29;82,93;1185,12;220,8;446,81;915,53;0;0;212,84;88,62
02.10.2024;12:00;30741,8;4684,37;3520,68;5206,52;894,75;9648,04;1802,82;1827,88;84,24;1161,26;216,38;455,6;935,92;0;0;209,8;93,54
02.10.2024;13:00;31678,16;5353,38;3903,5;5189,26;974,54;9402,67;1720,84;1936,25;85,4;1142,56;223;448,21;956,07;0;0;246,52;95,96
02.10.2024;14:00;33002,77;5593,73;4821,2;5251,03;984,78;9538,65;1685,87;1985,34;87,84;1124,58;220,79;446,28;958,19;0;0;211,38;93,11
02.10.2024;15:00;34266,17;7018,85;5570,19;5255,77;1075,77;9178,53;1771,1;1849,83;86,85;1113,23;223;427,29;947,43;0;0;-341,73;90,06
02.10.2024;16:00;37194,55;9045,09;7085,59;5227,42;1242;9104,35;1777,1;1401,61;85,82;1107,12;220,8;419,96;921,54;0;0;-534,06;90,21
02.10.2024;17:00;39971,89;10278,85;8592,51;5229,08;1357,35;9992,66;1782,59;454,48;87,04;1115,92;223;433,77;938,59;0;0;-607,31;93,36
02.10.2024;18:00;41432,58;10613,04;9895,83;5249,54;1617,79;10069,25;1702,34;22,73;88,24;1142,27;220,79;432,51;934,99;0;0;-641,95;85,21
02.10.2024;19:00;41738,62;10445,84;10351,53;5219,24;1685,26;10073,61;1683,05;0;88,44;1172,68;220,8;437,7;938,95;0;0;-670,62;92,14
02.10.2024;20:00;40601,14;10639,51;9119,89;5227,46;1645,46;10058,18;1527,61;0;88,84;1185,92;223;427,97;935,4;0;0;-572,9;94,8
02.10.2024;21:00;39257,57;10720,69;8011,85;5117,3;1533,02;10069,83;1413,17;0;88,84;1201,28;220,8;412,07;940,28;0;0;-558,64;87,08
02.10.2024;22:00;37614,67;10269,5;7258,18;5022,92;1298,49;10035,19;1281,29;0;89,65;1220,88;223;429,25;939,7;0;0;-541,9;88,52
02.10.2024;23:00;36319,62;9837,52;6067,05;5037,11;1162,25;10062,99;1166,17;0;89,74;1240,78;220,8;405,71;939,69;0;0;0;89,81
03.10.2024;00:00;33681,6;9802,73;4239,04;5050,02;1113,71;10081,86;997,85;,01;90,31;1240,02;220,8;432,87;954,68;0;0;-633,67;91,37
