Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
01.07.2024;00:00;38734,07;5896,24;7896,39;5659,33;1606,86;9247,92;5796,9;,01;93,72;1032,4;0;583,07;952,98;0;0;-112,58;80,83
01.07.2024;01:00;36886,83;6164,33;5914,18;5677,4;1342,52;9251,92;5632,27;,01;92,51;1050,27;0;590,13;946,89;0;0;139,28;85,12
01.07.2024;02:00;35608,13;6397,58;4491,52;5673,42;1307,22;9275,3;5423,64;,01;92,3;1072,99;0;588,74;945;0;0;259,51;80,9
01.07.2024;03:00;34630,77;5859,54;4334,59;5469,26;1310,15;9258,97;5389,07;,04;92,2;1085,39;0;582,63;956,55;0;0;208,84;83,54
01.07.2024;04:00;34123,37;5660,65;4090,69;5375,55;1278,29;9288,24;5403,24;1,58;91,5;1101,61;0;594,73;958,33;0;0;193,44;85,52
01.07.2024;05:00;32870,33;5665,49;3047,36;5376,46;1288,82;9290,04;5163,42;37,2;85,5;1109,35;0;596,42;949,09;0;0;172,9;88,28
01.07.2024;06:00;32140,81;5969,94;2148,88;5415,09;1252,4;8932,02;4918,52;468,19;76,5;1112,87;0;594,88;953,9;0;0;210,73;86,89
01.07.2024;07:00;32819,45;6366,14;1829,21;5441,24;1259,24;9180,66;4376,76;1389,04;79,2;1083,02;0;597,52;955,62;0;0;175,58;86,22
01.07.2024;08:00;37392,68;7857,35;4417,88;5530,96;1567,79;9194,65;3974,39;1745,24;88,61;1062,34;0;610,11;972,36;0;0;283,85;87,15
01.07.2024;09:00;38932,49;8407,63;5156,45;5613,87;1669,53;9153,65;3996,03;1902,61;90,52;1030,62;0;593,39;990,72;0;0;242,81;84,66
01.07.2024;10:00;39111,46;9339,35;4079,49;5422,16;1571,91;9172,01;4490,68;2023,9;91,72;1002,45;0;586,17;994,24;0;0;249,57;87,81
01.07.2024;11:00;39563,99;9382,13;4240,27;5369,81;1572,99;9272,82;4635,58;2074,98;92,51;972,41;0;589,78;989,63;0;0;284,05;87,03
01.07.2024;12:00;38572,3;8774,03;3969,17;5405,18;1464,16;9309,9;4662,32;2083,17;94,2;943,93;0;592,51;983,31;0;0;199,77;90,65
01.07.2024;13:00;40093,76;9384,9;4974,58;5309,27;1511,88;9283,65;4706,92;1992,44;94,97;918,22;0;588,88;982,75;0;0;259,3;86
01.07.2024;14:00;41902,16;10155,73;6069,16;5121,7;1593,3;9283,34;4899,69;1874,39;93,78;904,18;0;592,92;983,83;0;0;243,91;86,23
01.07.2024;15:00;42443,58;9818,23;6647,24;5116,51;1673,13;9280,38;5279,64;1779,99;93,28;885,12;0;588,87;976,01;0;0;220,26;84,92
01.07.2024;16:00;43908,58;10544,51;6892,55;5098,1;1843,35;9286,69;5747,53;1662,9;80,71;889,39;0;589,56;975,85;0;0;213,68;83,76
01.07.2024;17:00;45297,4;10747,09;7968,1;5198,02;2024;9265,11;5825,34;1441,21;87,37;885,53;0;596,1;978,22;0;0;194,67;86,64
01.07.2024;18:00;45613,76;10798,2;8741,55;5115,55;2127,07;9254,99;5920,69;820,34;93,39;888,76;0;592,61;982,95;0;0;195,32;82,34
01.07.2024;19:00;46382,71;11000,33;10101,88;5123,41;2151,39;9270,61;5685,93;168,41;93,2;905,69;0;591,45;998,38;0;0;207,46;84,57
01.07.2024;20:00;47509,18;11096,46;11176,88;5144,17;2192,31;9256,89;5716,3;1,48;93,82;939,38;0;616,54;980,6;0;0;211,43;82,92
01.07.2024;21:00;47593,58;10717,07;11589,57;5135,16;2222,28;9253,23;5782,65;,01;94,33;975,06;0;600,67;994,52;0;0;146,63;82,4
01.07.2024;22:00;46156,2;10935,12;10407,43;5064,37;2209,32;9258,84;5302,91;,01;94,03;1007,35;0;596,61;986,71;0;0;209,19;84,31
01.07.2024;23:00;43935,87;10952,74;9010,23;4981,77;2048,24;9256,01;4925,11;,01;94,22;1017,05;0;596;971,77;0;0;0;82,72
02.07.2024;00:00;41899,84;10524,24;7399,78;5036,86;1829,25;9281,02;4798,72;,01;93,11;1052,42;0;598,3;985,64;0;0;219,09;81,4
02.07.2024;01:00;40098,43;10690,64;5825,2;5061,39;1644,83;9315,38;4533,01;,01;92,71;1074,94;0;601,17;966,52;0;0;209,61;83,02
02.07.2024;02:00;38551,95;10670,43;4546,33;5059,96;1552,45;9325,52;4316,26;,01;92,31;1095,27;0;596,12;980,91;0;0;229,67;86,71
02.07.2024;03:00;37337;10104,95;4169,44;5110,29;1581,55;9342,95;3906,25;,04;91,91;1115,2;0;604,83;990,81;0;0;234,56;84,22
02.07.2024;04:00;36689,8;10755,24;3320,43;5196,51;1540,95;9362,08;3405,11;1,92;92,31;1134,66;0;600,55;988,85;0;0;208,8;82,39
02.07.2024;05:00;35465,38;10383,5;2586,97;5195,06;1469,49;9395,01;3353,97;32,79;89,92;1139,73;0;593,7;970,32;0;0;170,18;84,74
02.07.2024;06:00;34551,32;9775,95;2291,02;5032,85;1467,2;9415,86;2995,75;452,94;82,72;1145,41;0;597,43;971,84;0;0;239,17;83,18
02.07.2024;07:00;34769,06;9598,04;2348,38;5025,62;1451,61;9393,12;2501,2;1333,97;85,52;1120,88;0;582,62;985,49;0;0;258,97;83,64
02.07.2024;08:00;38123,56;11092,94;4042,5;5014,32;1598,28;9395,8;2126,77;1762,93;88,63;1084,56;0;587,97;960,4;0;0;285,59;82,87
02.07.2024;09:00;39586,49;11123,72;5409,69;5017,81;1611,24;9394,18;1973,64;1940,21;90,53;1051,49;0;577,66;972,96;0;0;343,41;79,95
02.07.2024;10:00;39608,19;10697,33;5906,76;5052,25;1615,89;9400,15;1871,63;2020,51;91,21;1013,52;0;561,86;980,27;0;0;320,4;76,41
02.07.2024;11:00;40071,78;11090,55;6039,36;5048,05;1594,04;9420,89;1809,96;2096,88;91;981,37;0;564,56;975,69;0;0;282,12;77,31
02.07.2024;12:00;38922,52;10807,7;5308,38;5069,87;1476,98;9444,28;1793,71;2107,09;89,6;951,87;0;558,22;996,79;0;0;239,22;78,81
02.07.2024;13:00;40573,49;11232,33;6472,62;5053,87;1508,42;9406,69;1767,96;2099,03;90,69;913,65;0;567,95;964,88;0;0;413,56;81,84
02.07.2024;14:00;42888,81;11548,09;8238,5;5062,24;1652,18;9413,58;1864,74;2075,14;90,79;894,24;0;571,94;975,39;0;0;425,83;76,15
02.07.2024;15:00;43838,86;11226,19;9539,04;5041,49;1736,22;9414,12;1994,13;1932,37;81,07;885,06;0;563,68;973,71;0;0;379,27;72,51
02.07.2024;16:00;45569,08;11262,76;11047,27;5053,78;1893,43;9395,6;2284,57;1813,2;81,18;870,07;0;555,99;963,26;0;0;265,91;82,06
02.07.2024;17:00;46597,92;11200,8;12301,63;4945,65;1952,17;9369,63;2440,54;1543,18;86,19;886,12;0;572,29;972,92;0;0;251,08;75,72
02.07.2024;18:00;46983,85;11547,42;13037,37;4788,65;2076,03;9400,86;2428,27;898,93;92,9;906,4;0;585,26;945,96;0;0;199,08;76,72
02.07.2024;19:00;47796,87;11678,19;14235,49;4955,93;2262,8;9386,93;2216,16;173,82;93,3;931,24;0;579,36;961,3;0;0;244,8;77,55
02.07.2024;20:00;48928,09;11857,21;15311,26;5075,51;2314,64;9388,25;1982,04;5,53;92,3;959,72;0;585,79;980,97;0;0;295,56;79,31
02.07.2024;21:00;48923,81;11863,54;15771,35;4851,97;2392,15;9384,76;1704,38;,31;91,91;992,67;0;579,02;984,53;0;0;226,3;80,92
02.07.2024;22:00;47275,53;11594,1;14946,92;4674,91;2252,15;9375,7;1460,4;,01;92,91;1003,28;0;567,9;987,06;0;0;234,98;85,21
02.07.2024;23:00;44939,59;11479,24;13630,74;4683,52;2085,09;9196,63;1211,45;,01;92,1;1031,34;0;559,59;979,03;0;0;-91,95;82,8
03.07.2024;00:00;43003,83;11406,62;11849,92;4995,11;1915,04;8867,31;1001,35;,01;91,8;1047,99;0;574;972,15;0;0;200,91;81,62
03.07.2024;01:00;40872,54;11388,01;9799,11;5067,21;1761,92;8822,58;975,26;,01;92,2;1068,77;0;572,97;981,6;0;0;260,94;81,96
03.07.2024;02:00;39168,32;11528,59;7902,64;5196,54;1579,73;8793,76;1113,59;,01;92,21;1084,1;0;565,95;979,97;0;0;245,83;85,4
03.07.2024;03:00;37889,14;11984,41;5853,79;5332,04;1554,68;8745,55;1243,59;,05;92,91;1097,43;0;578,48;991,69;0;0;331,5;83,02
03.07.2024;04:00;37140,86;11618,97;5545,32;5319,62;1483,43;8735,2;1273,01;1,5;91,61;1107,43;0;577,73;987,89;0;0;317,54;81,61
03.07.2024;05:00;35793,37;11236,97;4554,67;5345,27;1396,92;8734,06;1336,52;33,31;89,02;1114,4;0;587,87;986,46;0;0;294,73;83,17
